"","X","season","pst_team","player","date","notes","new_contract_source","pst_contract_value_millions","contract_term","contract_start_season","contract_end_season","contract_option","year","player_bref_url","position","tm","team","data_season"
"130",445,2009,"Yankees","A.J. Burnett","12/12/08","signed free agent to a 5-year contract through 2014 (date 12-18 per CBC ESPN MLB)","free agency",0,5,2009,2014,"",2008,"http://www.baseball-reference.com/players/b/burnea.01.shtml","Pitcher","NYY","New York Yankees",2008
"189",206,2006,"Blue Jays","A.J. Burnett","12/6/05","signed free agent to a 5-year contract","free agency",0,5,2006,2011,"",2005,"http://www.baseball-reference.com/players/b/burnea.01.shtml","Pitcher","TOR","Toronto Blue Jays",2005
"156",369,2008,"Giants","Aaron Rowand","12/12/07","signed free agent (from Phillies) to a 5-year contract","free agency",0,5,2008,2013,"",2007,"http://www.baseball-reference.com/players/r/rowanaa01.shtml","Centerfielder","SFG","San Francisco Giants",2007
"18",660,2012,"Orioles","Adam Jones","5/27/12","re-signed to a 6-year contract extension through 2018","re-signinging",0,6,2012,2018,"",2012,"http://www.baseball-reference.com/players/j/jonesad01.shtml","Centerfielder","BAL","Baltimore Orioles",2011
"163",733,2013,"Cardinals","Adam Wainwright","3/27/13","re-signed to a 5-year contract extension through 2018","re-signinging",0,5,2013,2018,"",2013,"http://www.baseball-reference.com/players/w/wainwad01.shtml","Pitcher","STL","St. Louis Cardinals",2012
"159",191,2005,"Mariners","Adrian Beltre","12/17/04","signed free agent to a 5-year contract","free agency",0,5,2005,2010,"",2004,"http://www.baseball-reference.com/players/b/beltrad01.shtml","Third Baseman","SEA","Seattle Mariners",2004
"179",542,2011,"Rangers","Adrian Beltre","1/5/11","signed free agent to a 5-year contract through 2015 with an option for 2016","free agency",0,5,2011,2015,"an option for 2016",2011,"http://www.baseball-reference.com/players/b/beltrad01.shtml","Third Baseman","TEX","Texas Rangers",2010
"31",563,2011,"Red Sox","Adrian Gonzalez","4/15/11","re-signed to a 7-year contract extension through 2018","re-signinging",0,7,2011,2018,"",2011,"http://www.baseball-reference.com/players/g/gonzaad01.shtml","First Baseman","BOS","Boston Red Sox",2010
"7",10,1980,"Braves","Al Hrabosky","11/20/79","signed free agent (from Royals) to a 5-year contract","free agency",0,5,1980,1985,"",1979,"http://www.baseball-reference.com/players/h/hraboal01.shtml","Pitcher","ATL","Atlanta Braves",1979
"15",89,1999,"Orioles","Albert Belle","12/1/98","signed free agent (from White Sox) to a 5-year, $65M contract","free agency",65,5,1999,2004,"",1998,"http://www.baseball-reference.com/players/b/belleal01.shtml","Leftfielder","BAL","Baltimore Orioles",1998
"86",586,2012,"Angels","Albert Pujols","12/7/11","signed free agent to a 10-year contract through 2021","free agency",0,10,2012,2021,"",2011,"http://www.baseball-reference.com/players/p/pujolal01.shtml","First Baseman, Leftfielder, Third Baseman","LAA","Los Angeles Angels of Anaheim",2011
"164",167,2004,"Cardinals","Albert Pujols","2/20/04","re-signed to a 7-year contract with a 1-year team option","re-signinging",0,7,2004,2011,"",2004,"http://www.baseball-reference.com/players/p/pujolal01.shtml","First Baseman, Leftfielder, Third Baseman","STL","St. Louis Cardinals",2003
