ID_School,School_Label,unitid,DOE.Institution_Name,Sport,DBPediaCollege_Name,ID_Conference,DBPediaURI_College,DBPediaData_College,Wayback_Roster_URL,Roster12_URL,Rank,Wins,Losses,Points,Previous,Season,Source
BAMA,Alabama,100751,The University of Alabama,Football,University of Alabama,SEC,http://live.dbpedia.org/resource/Alabama_University,http://live.dbpedia.org/data/Alabama_University.json,http://web.archive.org/web/20130701000000*/http://www.rolltide.com/sports/m-footbl/mtt/alab-m-footbl-mtt.html,http://web.archive.org/web/20130123142018/http://www.rolltide.com/sports/m-footbl/mtt/alab-m-footbl-mtt.html,1,13,1,"1,475",2,2012-2013,Bowl Championship Series
BOS.ST,Boise State,142115,Boise State University,Football,Boise State University,MWC,http://live.dbpedia.org/resource/Boise_State_University,http://live.dbpedia.org/data/Boise_State_University.json,http://web.archive.org/liveweb/http://www.broncosports.com,http://web.archive.org/web/20130118222217/http://www.broncosports.com/SportSelect.dbml?&DB_OEM_ID=9900&SPID=4061&SPSID=48552,18,11,2,419,20,2012-2013,Bowl Championship Series
CLEM,Clemson,217882,Clemson University,Football,Clemson University,ACC,http://live.dbpedia.org/resource/Clemson_University,http://live.dbpedia.org/data/Clemson_University.json,http://web.archive.org/web/*/http://www.clemsontigers.com/SportSelect.dbml?&DB_OEM_ID=28500&SPID=103701&SPSID=657772,http://www.clemsontigers.com/SportSelect.dbml?DB_OEM_ID=28500&SPID=103701&SPSID=657772,11,11,2,889,14,2012-2013,Bowl Championship Series
FLA,Florida,134130,University of Florida,Football,University of Florida,SEC,http://live.dbpedia.org/resource/University_of_Florida,http://live.dbpedia.org/data/University_of_Florida.json,http://web.archive.org/web/*/http://www.gatorzone.com/football/bios.php,http://web.archive.org/web/20130119043938/http://www.gatorzone.com/football/bios.php,9,11,2,933,4,2012-2013,Bowl Championship Series
FSU,Florida State,134097,Florida State University,Football,Florida State University,ACC,http://live.dbpedia.org/resource/Florida_State_University,http://live.dbpedia.org/data/Florida_State_University.json,http://web.archive.org/web/*/http://www.seminoles.com/sports/m-footbl/mtt/fsu-m-footbl-mtt.html,http://web.archive.org/web/20130119102322/http://www.seminoles.com/sports/m-footbl/mtt/fsu-m-footbl-mtt.html,10,12,2,922,13,2012-2013,Bowl Championship Series
KAN.ST,Kansas State,155399,Kansas State University,Football,Kansas State University,BIG12,http://live.dbpedia.org/resource/Kansas_State_University,http://live.dbpedia.org/data/Kansas_State_University.json,http://web.archive.org/web/*/http://www.kstatesports.com/sports/m-footbl/mtt/ksu-m-footbl-mtt.html,http://web.archive.org/web/20130213080602/http://www.kstatesports.com/sports/m-footbl/mtt/ksu-m-footbl-mtt.html,12,11,2,871,7,2012-2013,Bowl Championship Series
LOUIS,Louisville,157289,University of Louisville,Football,University of Louisville,BIGEAST,http://live.dbpedia.org/resource/University_of_Louisville,http://live.dbpedia.org/data/University_of_Louisville.json,http://web.archive.org/liveweb/http://www.gocards.com/sports/m-footbl/mtt/lou-m-footbl-mtt.html,http://web.archive.org/liveweb/http://www.gocards.com/sports/m-footbl/archive/lou-m-footbl-roster-1213.html,13,11,2,781,22,2012-2013,Bowl Championship Series
LSU,Louisiana State,159391,Louisiana State University and Agricultural & Mechanical College,Football,Louisiana State University,SEC,http://live.dbpedia.org/resource/Louisiana_State_University,http://live.dbpedia.org/data/Louisiana_State_University.json,http://web.archive.org/web/*/http://www.lsusports.net/SportSelect.dbml?DB_OEM_ID=5200&SPID=2164&SPSID=27812,http://www.lsusports.net/SportSelect.dbml?SPSID=27812&SPID=2164&DB_LANG=C&DB_OEM_ID=5200&Q_SEASON=2012,14,10,3,756,9,2012-2013,Bowl Championship Series
ND,Notre Dame,152080,University of Notre Dame,Football,Notre Dame University,IND,http://live.dbpedia.org/resource/University_of_Notre_Dame,http://live.dbpedia.org/data/University_of_Notre_Dame.json,http://web.archive.org/web/*/http://www.und.com/sports/m-footbl/mtt/nd-m-footbl-mtt.html,http://web.archive.org/web/20130117085312/http://www.und.com/sports/m-footbl/mtt/nd-m-footbl-mtt.html,4,12,1,"1,288",1,2012-2013,Bowl Championship Series
NEB,Nebraska,181464,University of Nebraska-Lincoln,Football,University of Nebraska at Lincoln,BIG10,http://live.dbpedia.org/resource/University_of_Nebraska%E2%80%93Lincoln,http://live.dbpedia.org/data/University_of_Nebraska%E2%80%93Lincoln.json,http://web.archive.org/web/*/http://www.huskers.com/SportSelect.dbml?DB_OEM_ID=100&SPID=22&SPSID=4,http://web.archive.org/web/20121021221531/http://www.huskers.com/SportSelect.dbml?DB_OEM_ID=100&SPID=22&SPSID=4,25,10,4,119,23,2012-2013,Bowl Championship Series
NO.ILL,Northern Illinois,147703,"Northern Illinois University, Dekalb, IL",Football,Northern Illinois University,MAC,http://live.dbpedia.org/resource/Northern_Illinois_University,http://live.dbpedia.org/data/Northern_Illinois_University.json,http://web.archive.org/web/*/http://www.niuhuskies.com/sports/m-footbl/mtt/niu-m-footbl-mtt.html,http://web.archive.org/web/20121213103445/http://www.niuhuskies.com/sports/m-footbl/mtt/niu-m-footbl-mtt.html,22,12,2,227,16,2012-2013,Bowl Championship Series
NWST,Northwestern,147767,Northwestern University,Football,Northwestern University,BIG12,http://live.dbpedia.org/resource/Northwestern_University,http://live.dbpedia.org/data/Northwestern_University.json,http://web.archive.org/web/*/http://www.nusports.com/sports/m-footbl/mtt/nw-m-footbl-mtt.html,http://web.archive.org/web/20121119045444/http://www.nusports.com/sports/m-footbl/mtt/nw-m-footbl-mtt.html,17,10,3,443,21,2012-2013,Bowl Championship Series
