Name,Team_ID,Colors,Current_FranchiseURL,Pic_URL
Kings,SAC,"Purple, Black, Silver, White",wikipedia.org/wiki/Sacramento_Kings,http://upload.wikimedia.org/wikipedia/en/thumb/6/60/Sacramento_Kings.svg/400px-Sacramento_Kings.svg.png
Grizzlies,MEM,"Blue, Gold, White",wikipedia.org/wiki/Memphis_Grizzlies,http://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/400px-Memphis_Grizzlies.svg.png
Pelicans,NOH,"Navy, Gold, Red, White",wikipedia.org/wiki/New_Orleans_Pelicans,http://upload.wikimedia.org/wikipedia/en/2/21/New_Orleans_Pelicans.png
Pistons,DET,"White, Blue, Red",wikipedia.org/wiki/Detroit_Pistons,http://upload.wikimedia.org/wikipedia/en/thumb/1/1e/Detroit_Pistons_logo.svg/400px-Detroit_Pistons_logo.svg.png
Sixers,PHL,"Red, Blue, White",wikipedia.org/wiki/Philadelphia_76ers,http://upload.wikimedia.org/wikipedia/en/thumb/5/5a/Philadelphia_76ers_Logo.svg/495px-Philadelphia_76ers_Logo.svg.png
Warriors,GSW,"Blue, Gold, Yellow",wikipedia.org/wiki/Golden_State_Warriors,http://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/400px-Golden_State_Warriors_logo.svg.png
Nets,BKM,"Black, White",wikipedia.org/wiki/Brooklyn_Nets,http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/250px-Brooklyn_Nets_newlogo.svg.png
Knicks,NYK,"Blue, Orange, Silver",wikipedia.org/wiki/New_York_Knicks,http://upload.wikimedia.org/wikipedia/en/thumb/d/d8/NewYorkKnicks.PNG/400px-NewYorkKnicks.PNG
Wizards,WAS,"Red, White, Navy, Silver",wikipedia.org/wiki/Washington_Wizards,http://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Washington_Wizards_Logo.svg/400px-Washington_Wizards_Logo.svg.png
Bobcats,CHA,"Navy, Blue, Orange, Silver, White",wikipedia.org/wiki/Charlotte_Bobcats,http://upload.wikimedia.org/wikipedia/en/thumb/1/15/Charlotte_Bobcats_2012.png/400px-Charlotte_Bobcats_2012.png
Jazz,UTA,"Navy, Yellow, Green, Grey'",wikipedia.org/wiki/Utah_Jazz,http://upload.wikimedia.org/wikipedia/en/thumb/5/53/Utah_Jazz_logo%2C_%282010_%27new_look%27%29.svg/400px-Utah_Jazz_logo%2C_%282010_%27new_look%27%29.svg.png
Magic,ORL,"Blue, Black, Silver, White",wikipedia.org/wiki/Orlando_Magic,http://upload.wikimedia.org/wikipedia/en/thumb/9/96/OrlandoMagicNewLogo.gif/400px-OrlandoMagicNewLogo.gif
Thunder,OKC,"Blue, Yellow, Navy, White",wikipedia.org/wiki/Oklahoma_City_Thunder,http://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Oklahoma_City_Thunder.svg/400px-Oklahoma_City_Thunder.svg.png
Cavaliers,CLE,"Red, Gold, Navy",wikipedia.org/wiki/Cleveland_Cavaliers,http://upload.wikimedia.org/wikipedia/en/thumb/f/f7/Cleveland_Cavaliers_2010.svg/400px-Cleveland_Cavaliers_2010.svg.png
Hawks,ATL,"Navy, Red, Silver",wikipedia.org/wiki/Atlanta_Hawks,http://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Atlanta_Hawks.svg/200px-Atlanta_Hawks.svg.png
Suns,PHX,"Purple, Orange, Black",wikipedia.org/wiki/Phoenix_Suns,http://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Phoenix_Suns.svg/400px-Phoenix_Suns.svg.png
Celtics,BOS,"Green, White, Black",wikipedia.org/wiki/Boston_Celtics,http://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/400px-Boston_Celtics.svg.png
